data1 data2
0.0 0.0001
0.0118555 0.00010124172547094076
0.00974707 9.932941039526009e-05
0.0371941 0.00011716148803823438
0.0627321 0.00013137839334913484
0.0740283 0.00013799175631778397
0.108164 0.00014708236331112805
0.123425 0.00019855569242574405
0.145343 0.00025233154499718557
0.168417 0.004638807006456509
0.183679 0.004153664990684091
0.201677 0.0012352918941590286
0.229998 0.0103821881197264
0.238998 0.015476211311451995
0.265728 0.0008050717209930223
0.292728 0.02303915232426992
0.306063 0.021175183601597574
0.329026 0.03253422867924386
0.336961 0.027176517242630018
0.356766 0.05587720924196197
0.369491 0.03888433153923741
0.37927 0.05086271641648068
0.411452 0.06439465504452474
0.406596 0.07841991705882718
0.421399 0.10155084428012733
0.437298 0.08678736920458723
0.459736 0.1260328755391492
0.477342 0.15700304630696393
0.491684 0.12741266086487116
0.484899 0.16289647785633674
0.499836 0.17759389478057327
0.51697 0.17687178796423883
0.523203 0.1692981106736477
0.540237 0.1963018296654415
0.542057 0.2011717642264938
0.565656 0.2461255414817135
0.564237 0.2202220680517736
0.603556 0.2775424182649084
0.590158 0.26242719602840964
0.584553 0.272004012550673
0.608019 0.2986746241631519
0.62257 0.3152204932307966
0.627028 0.3137516308191348
0.646503 0.3353932939142742
0.647478 0.36896561536770156
0.654843 0.3520121161347528
0.648787 0.3666874636044525
0.663296 0.3539838024189808
0.68812 0.40119368364128893
0.679646 0.40709015099934154
0.694732 0.4350289822031019
0.712863 0.47445075307138046
0.707421 0.44243005302910127
0.712484 0.46565473768769927
0.726022 0.48989387284526575
0.718467 0.43782136419510953
0.735012 0.4860365012290744
0.73206 0.47776870211082967
0.752454 0.5308666868759677
0.745434 0.5279461395903311
0.756303 0.5239076503694775
0.77181 0.5519652852169842
0.770123 0.5630011146566823
0.779614 0.5659617929521981
0.780554 0.5632478312918746
0.788396 0.5690592547629231
0.796958 0.5941883945635426
0.779299 0.560758652213826
0.800739 0.6074552639476151
0.806357 0.5879820428726261
0.807166 0.5991386958810123
0.813403 0.600649004710738
0.814606 0.6331518079415605
0.818615 0.6292931543954694
0.824168 0.6284522535695665
0.827946 0.6540893294028475
0.828695 0.6550112816364311
0.841312 0.6709166985833637
0.824959 0.6529779378011175
0.851933 0.6839301026679068
0.848492 0.6810318124241089
1.0 1.0
